# injm1  injm2  injecc  maxmatch  maxm1  maxm2
0.477275 0.477275 0.083404 0.577616 0.477407 0.477407
0.716698 0.716698 0.144065 0.509806 0.782553 0.658324
0.284007 0.284007 0.000023 0.970596 0.284009 0.284009
0.890306 0.890306 0.060467 0.797055 0.890547 0.890547
0.124649 0.124649 0.029351 0.559543 0.124653 0.124653
0.703421 0.703421 0.018468 0.964730 0.703468 0.703468
0.475574 0.475574 0.037252 0.792692 0.475626 0.475626
0.602821 0.602821 0.069112 0.682837 0.602989 0.602989
0.226348 0.226348 0.079353 0.425706 0.240316 0.213415
0.278291 0.278291 0.107763 0.397326 0.278371 0.278371
0.659020 0.659020 0.087199 0.623838 0.721163 0.603651
0.576228 0.576228 0.005185 0.984552 0.576225 0.576225
0.221122 0.221122 0.109932 0.351700 0.221176 0.221176
0.562220 0.562220 0.087064 0.602442 0.562401 0.562401
0.265996 0.265996 0.084074 0.444455 0.280957 0.252081
0.806802 0.806802 0.066067 0.753161 0.807039 0.807039
0.868578 0.868578 0.040930 0.848363 0.950328 0.795289
0.544813 0.544813 0.123854 0.498365 0.545068 0.545068
0.861905 0.861905 0.059931 0.793585 0.862108 0.862108
0.171681 0.171681 0.053365 0.464327 0.184035 0.160337
0.126889 0.126889 0.110160 0.266417 0.126912 0.126912
0.511150 0.511150 0.141630 0.450163 0.511463 0.511463
0.684230 0.684230 0.058181 0.754391 0.684365 0.684365
0.350639 0.350639 0.102166 0.449262 0.380044 0.324109
0.708629 0.708629 0.178589 0.457658 0.709338 0.709338
0.631777 0.631777 0.179259 0.433712 0.632363 0.632363
0.121584 0.121584 0.025117 0.595885 0.121587 0.121587
0.602969 0.602969 0.041449 0.812807 0.603045 0.603045
0.333327 0.333327 0.010293 0.952846 0.349799 0.317789
0.473591 0.473591 0.088162 0.559758 0.473734 0.473734
0.801445 0.801445 0.193406 0.461824 0.802387 0.802387
0.277917 0.277917 0.109446 0.393509 0.277997 0.277997
0.876694 0.876694 0.194537 0.477847 0.914830 0.842587
0.985061 0.985061 0.142963 0.593365 0.985874 0.985874
0.247458 0.247458 0.139546 0.321770 0.247548 0.247548
0.637601 0.637601 0.043218 0.798718 0.680500 0.598063
0.108087 0.108087 0.195255 0.150849 0.108105 0.108105
0.447914 0.447914 0.001246 0.996365 0.447914 0.447914
0.139744 0.139744 0.050596 0.441549 0.139755 0.139755
0.960988 0.960988 0.086958 0.724036 0.961480 0.961480
0.172667 0.172667 0.044399 0.511528 0.185414 0.160979
0.764596 0.764596 0.174146 0.479746 0.765268 0.765268
0.497178 0.497178 0.041344 0.755861 0.539356 0.458982
0.242479 0.242479 0.183722 0.267746 0.254975 0.230946
0.891943 0.891943 0.097682 0.676754 0.892389 0.892389
0.346678 0.346678 0.122349 0.409371 0.346812 0.346812
0.472812 0.472812 0.153182 0.415592 0.473108 0.473108
0.366472 0.366472 0.103684 0.460322 0.366598 0.366598
0.665909 0.665909 0.059360 0.739613 0.687314 0.645587
0.621854 0.621854 0.037544 0.840674 0.621928 0.621928
0.494327 0.494327 0.178572 0.387969 0.494702 0.494702
0.762294 0.762294 0.066396 0.742547 0.762544 0.762544
0.566233 0.566233 0.164246 0.433680 0.566665 0.566665
0.620973 0.620973 0.008339 0.987080 0.620980 0.620980
0.680820 0.680820 0.021531 0.944438 0.680870 0.680870
0.991202 0.991202 0.119010 0.647122 0.991909 0.991909
0.837872 0.837872 0.105963 0.640294 0.838346 0.838346
0.471881 0.471881 0.083761 0.572986 0.472009 0.472009
0.888641 0.888641 0.067082 0.769231 0.888923 0.888923
0.841383 0.841383 0.124504 0.595546 0.841944 0.841944
0.711307 0.711307 0.015262 0.964787 0.711324 0.711324
0.823365 0.823365 0.155984 0.518164 0.895851 0.759012
0.442847 0.442847 0.087682 0.544441 0.456940 0.429499
0.159343 0.159343 0.144693 0.252155 0.159390 0.159390
0.359331 0.359331 0.195598 0.314341 0.359582 0.359582
0.918634 0.918634 0.107699 0.645317 0.998681 0.846962
0.292047 0.292047 0.100224 0.423356 0.292127 0.292127
0.506912 0.506912 0.014410 0.960373 0.506928 0.506928
0.938085 0.938085 0.053688 0.833544 0.938297 0.938297
0.122409 0.122409 0.099977 0.277715 0.122429 0.122429
0.599821 0.599821 0.174686 0.429851 0.600343 0.600343
0.589047 0.589047 0.193708 0.397050 0.639021 0.544681
0.784806 0.784806 0.173839 0.480351 0.853803 0.723784
0.741137 0.741137 0.106171 0.611420 0.741499 0.741499
0.657714 0.657714 0.046546 0.802886 0.657819 0.657819
0.483483 0.483483 0.002280 0.990230 0.515370 0.453929
0.360168 0.360168 0.086094 0.497607 0.390425 0.332842
0.976470 0.976470 0.080470 0.749463 0.999329 0.955069
0.400397 0.400397 0.104535 0.476656 0.400544 0.400544
0.296921 0.296921 0.095678 0.437521 0.297001 0.297001
0.250099 0.250099 0.002075 0.988551 0.266554 0.234849
0.890703 0.890703 0.100375 0.670796 0.891177 0.891177
0.955868 0.955868 0.099155 0.688200 0.956430 0.956430
0.134874 0.134874 0.026766 0.589350 0.144648 0.125890
0.729197 0.729197 0.028422 0.907344 0.729255 0.729255
0.615484 0.615484 0.043712 0.795147 0.647108 0.585850
0.908206 0.908206 0.083702 0.723408 0.908613 0.908613
0.700209 0.700209 0.049620 0.796073 0.700345 0.700345
0.593054 0.593054 0.016812 0.954779 0.624289 0.563724
0.732185 0.732185 0.069100 0.725924 0.732421 0.732421
0.716824 0.716824 0.154264 0.491926 0.779117 0.661405
0.958054 0.958054 0.004150 0.991176 0.999845 0.918324
0.103553 0.103553 0.126730 0.215538 0.104268 0.102875
0.560973 0.560973 0.149761 0.454875 0.561367 0.561367
0.831359 0.831359 0.099701 0.651926 0.870061 0.795440
0.651273 0.651273 0.044959 0.806606 0.651381 0.651381
0.749580 0.749580 0.039613 0.838909 0.816022 0.689707
0.362688 0.362688 0.152106 0.366891 0.378145 0.348320
0.925997 0.925997 0.033822 0.900738 0.977762 0.877624
0.743118 0.743118 0.017668 0.966483 0.743149 0.743149
