# injm1  injm2  injecc  maxmatch  maxm1  maxm2
0.701611 0.310780 0.083404 0.691521 0.459867 0.459867
0.827397 0.270776 0.144065 0.556837 0.525546 0.404522
0.586938 0.363799 0.000023 0.967342 0.594896 0.359378
0.910812 0.250612 0.060467 0.763484 0.825979 0.271398
0.478057 0.441761 0.029351 0.842378 0.459514 0.459514
0.820780 0.272557 0.018468 0.951671 0.807567 0.276248
0.700662 0.311141 0.037252 0.858804 0.645559 0.334237
0.769371 0.287500 0.069112 0.734395 0.645494 0.334515
0.549442 0.386615 0.079353 0.639480 0.459659 0.459659
0.583301 0.365865 0.107763 0.571644 0.459758 0.459758
0.798375 0.278820 0.087199 0.680427 0.621513 0.346114
0.755377 0.291941 0.005185 0.991528 0.750248 0.293620
0.545949 0.388925 0.109932 0.531361 0.459722 0.459722
0.747932 0.294376 0.087064 0.681110 0.565300 0.377191
0.575421 0.370446 0.084074 0.645383 0.459695 0.459695
0.871378 0.259647 0.066067 0.743462 0.789489 0.281674
0.900666 0.252859 0.040930 0.839834 0.861845 0.262080
0.738608 0.297501 0.123854 0.591719 0.460084 0.460084
0.897534 0.253563 0.059931 0.765649 0.825476 0.271515
0.512021 0.413275 0.053365 0.720148 0.459578 0.459578
0.479717 0.440257 0.110160 0.494703 0.459650 0.459650
0.720335 0.303875 0.141630 0.550217 0.460121 0.460121
0.811149 0.275205 0.058181 0.770227 0.710555 0.307723
0.628178 0.342245 0.102166 0.619265 0.459831 0.459831
0.823381 0.271854 0.178589 0.485420 0.645239 0.335339
0.784408 0.282915 0.179259 0.485158 0.593480 0.361363
0.475778 0.443846 0.025117 0.867867 0.459514 0.459514
0.769448 0.287476 0.041449 0.839824 0.711220 0.307354
0.617658 0.347436 0.010293 0.977197 0.621671 0.345443
0.699554 0.311563 0.088162 0.678471 0.459885 0.459885
0.868807 0.260266 0.193406 0.458879 0.710909 0.308312
0.583062 0.366002 0.109446 0.566129 0.459767 0.459767
0.904465 0.252012 0.194537 0.456683 0.750611 0.294449
0.954184 0.241553 0.142963 0.557943 0.689494 0.316510
0.563385 0.377724 0.139546 0.476352 0.459795 0.459795
0.787408 0.282023 0.043218 0.830752 0.731200 0.300204
0.465640 0.453416 0.195255 0.354922 0.459840 0.459840
0.685091 0.317214 0.001246 0.984427 0.689588 0.315430
0.489158 0.431935 0.050596 0.718712 0.459550 0.459550
0.943295 0.243748 0.086958 0.679740 0.807297 0.276712
0.512715 0.412739 0.044399 0.771751 0.459560 0.459560
0.850973 0.264662 0.174146 0.494379 0.667724 0.325435
0.712655 0.306660 0.041344 0.839040 0.645713 0.334204
0.560120 0.379760 0.183722 0.397538 0.459894 0.459894
0.911573 0.250445 0.097682 0.652067 0.731085 0.300681
0.625783 0.343410 0.122349 0.563651 0.459885 0.459885
0.699118 0.311730 0.153182 0.522082 0.460121 0.460121
0.637690 0.337717 0.103684 0.618958 0.459858 0.459858
0.801879 0.277817 0.059360 0.768395 0.710431 0.307758
0.779278 0.284459 0.037544 0.858299 0.730421 0.300453
0.711081 0.307239 0.178572 0.479791 0.460230 0.460230
0.849850 0.264945 0.066396 0.742214 0.770233 0.287506
0.750070 0.293672 0.164246 0.512899 0.460275 0.460275
0.778821 0.284597 0.008339 0.982454 0.769620 0.287438
0.809429 0.275685 0.021531 0.938781 0.788175 0.281850
0.956949 0.241004 0.119010 0.605177 0.668415 0.325022
0.886192 0.256156 0.105963 0.632752 0.645340 0.334994
0.698597 0.311929 0.083761 0.688981 0.526770 0.402856
0.910037 0.250782 0.067082 0.740152 0.807067 0.276647
0.887855 0.255772 0.124504 0.595416 0.563433 0.378921
0.824715 0.271494 0.015262 0.966603 0.807032 0.276389
0.879297 0.257766 0.155984 0.530636 0.668179 0.325194
0.682211 0.318370 0.087682 0.675711 0.526770 0.402856
0.503284 0.420170 0.144693 0.430871 0.459731 0.459731
0.633413 0.339734 0.195598 0.421988 0.460075 0.460075
0.923925 0.247782 0.107699 0.629610 0.710016 0.308351
0.592025 0.360956 0.100224 0.604044 0.459767 0.459767
0.718012 0.304711 0.014410 0.957938 0.710513 0.307469
0.932855 0.245901 0.053688 0.788299 0.861609 0.262213
0.476393 0.443281 0.099977 0.520209 0.459632 0.459632
0.767801 0.287990 0.174686 0.492085 0.563961 0.378607
0.762145 0.289772 0.193708 0.456945 0.594876 0.360579
0.860786 0.262220 0.173839 0.497040 0.667724 0.325435
0.839484 0.267597 0.106171 0.633086 0.594090 0.360700
0.797709 0.279012 0.046546 0.817462 0.730905 0.300339
0.705069 0.309475 0.002280 0.991593 0.709843 0.307695
0.633915 0.339496 0.086094 0.671609 0.459786 0.459786
0.950308 0.242329 0.080470 0.697454 0.807452 0.276647
0.657733 0.328649 0.104535 0.621904 0.459885 0.459885
0.595094 0.359269 0.095678 0.618054 0.459767 0.459767
0.565111 0.376658 0.002075 0.979615 0.565048 0.376704
0.910997 0.250571 0.100375 0.645854 0.730564 0.300874
0.940968 0.244224 0.099155 0.647924 0.769632 0.287985
0.485598 0.435028 0.026766 0.866900 0.459514 0.459514
0.833594 0.269134 0.028422 0.897792 0.789211 0.281584
0.775972 0.285464 0.043712 0.829107 0.710589 0.307598
0.919113 0.248811 0.083702 0.689018 0.770546 0.287585
0.819174 0.272994 0.049620 0.805573 0.751127 0.293522
0.764252 0.289105 0.016812 0.963600 0.750915 0.293432
0.835071 0.268746 0.069100 0.734357 0.730837 0.300505
0.827460 0.270759 0.154264 0.534772 0.593968 0.361066
0.941962 0.244020 0.004150 0.976428 0.931256 0.246244
0.462194 0.456784 0.126730 0.456080 0.459713 0.459713
0.747267 0.294597 0.149761 0.538459 0.460211 0.460211
0.883101 0.256875 0.099701 0.647972 0.667721 0.325064
0.794421 0.279964 0.044959 0.824065 0.750441 0.293705
0.843631 0.266528 0.039613 0.847107 0.788399 0.281875
0.635426 0.338781 0.152106 0.501667 0.459985 0.459985
0.927312 0.247064 0.033822 0.871309 0.896957 0.253783
0.840458 0.267345 0.017668 0.954262 0.825316 0.271373
0.847249 0.265604 0.036054 0.860192 0.807260 0.276404
0.530193 0.399781 0.003895 0.975209 0.528574 0.400937
0.917405 0.249179 0.092644 0.664641 0.731053 0.300670
0.902006 0.252559 0.144987 0.555570 0.645239 0.335339
