# injm1  injm2  injecc  pol  inc  maxmatch  maxm1  maxm2
0.100000 0.100000 0.002000 0.000719 -0.260683 0.990428 0.100000 0.100000
0.100000 0.100000 0.001000 1.899612 0.692170 0.998877 0.100000 0.100000
0.100000 0.100000 0.005000 3.453631 -0.201078 0.919458 0.100001 0.100001
0.100000 0.100000 0.003000 2.735211 -1.489347 0.971272 0.100000 0.100000
0.100000 0.100000 0.078000 1.827808 0.159586 0.292069 0.100011 0.100011
0.100000 0.100000 0.082000 3.209625 0.653916 0.283284 0.100011 0.100011
0.100000 0.100000 0.015000 6.111556 1.467218 0.694161 0.100002 0.100001
0.100000 0.100000 0.002000 4.491321 0.148384 0.990428 0.100000 0.100000
0.100000 0.100000 0.006000 1.298855 -0.873384 0.889200 0.100001 0.100001
0.100000 0.100000 0.010000 5.771803 1.164690 0.797905 0.100001 0.100001
0.100000 0.100000 0.001000 5.159935 1.234207 0.998877 0.100000 0.100000
0.100000 0.100000 0.009000 0.261988 -0.527851 0.824841 0.100002 0.100000
0.100000 0.100000 0.532000 2.754606 -1.331067 0.039568 0.100014 0.100014
0.100000 0.100000 0.007000 4.545666 0.879391 0.871104 0.100001 0.100000
0.100000 0.100000 0.002000 5.461310 1.173163 0.990428 0.100000 0.100000
0.100000 0.100000 0.000000 3.335465 1.471964 0.996687 0.100000 0.100000
0.100000 0.100000 0.002000 3.115035 -1.538205 0.990428 0.100000 0.100000
0.100000 0.100000 0.002000 0.840876 0.005889 0.990428 0.100000 0.100000
0.100000 0.100000 0.006000 3.981329 0.852379 0.889203 0.100001 0.100001
0.100000 0.100000 0.002000 4.704874 -1.505602 0.990428 0.100000 0.100000
0.100000 0.100000 0.005000 2.910488 -1.004462 0.919459 0.100001 0.100001
0.100000 0.100000 0.006000 4.554894 -1.509613 0.889203 0.100001 0.100001
0.100000 0.100000 0.000000 1.654457 -1.086479 0.996687 0.100000 0.100000
0.100000 0.100000 0.120000 3.353584 0.754138 0.220641 0.100025 0.100003
0.100000 0.100000 0.453000 5.179095 0.872428 0.048361 0.100014 0.100014
0.100000 0.100000 0.005000 6.067981 -0.824539 0.919461 0.100001 0.100001
0.100000 0.100000 0.003000 5.469058 0.043804 0.971272 0.100000 0.100000
0.100000 0.100000 0.292000 0.050560 0.858173 0.085400 0.100025 0.100003
0.100000 0.100000 0.003000 0.341574 1.095843 0.971272 0.100000 0.100000
0.100000 0.100000 0.007000 2.271613 -1.008778 0.871095 0.100001 0.100000
0.100000 0.100000 0.004000 3.460159 -0.869307 0.947104 0.100000 0.100000
0.100000 0.100000 0.002000 0.286526 0.072770 0.990428 0.100000 0.100000
0.100000 0.100000 0.026000 1.203361 -0.645079 0.542023 0.100005 0.100000
0.100000 0.100000 0.012000 0.426631 0.096091 0.755242 0.100001 0.100001
0.100000 0.100000 0.047000 5.520416 0.472415 0.394431 0.100006 0.100006
0.100000 0.100000 0.020000 1.142536 0.017132 0.614198 0.100002 0.100002
0.100000 0.100000 0.003000 1.551557 -1.264385 0.971272 0.100000 0.100000
0.100000 0.100000 0.001000 0.867907 0.820740 0.998877 0.100000 0.100000
0.100000 0.100000 0.000000 5.601653 0.276871 0.996687 0.100000 0.100000
0.100000 0.100000 0.014000 5.126058 1.249455 0.714414 0.100002 0.100001
0.100000 0.100000 0.002000 4.529965 -1.417723 0.990428 0.100000 0.100000
0.100000 0.100000 0.001000 0.135819 -0.662532 0.998877 0.100000 0.100000
0.100000 0.100000 0.002000 2.642318 -0.915898 0.990427 0.100000 0.100000
0.100000 0.100000 0.004000 5.398400 -0.057551 0.947106 0.100000 0.100000
0.100000 0.100000 0.002000 4.809526 0.054343 0.990428 0.100000 0.100000
0.100000 0.100000 0.014000 1.774345 1.404174 0.714398 0.100002 0.100001
0.100000 0.100000 0.004000 6.282351 1.445187 0.947105 0.100000 0.100000
0.100000 0.100000 0.019000 1.382724 0.626786 0.628868 0.100002 0.100002
0.100000 0.100000 0.005000 1.751997 1.162779 0.919462 0.100001 0.100001
0.100000 0.100000 0.001000 1.168115 0.258481 0.998877 0.100000 0.100000
0.100000 0.100000 0.058000 4.827357 -0.603390 0.349072 0.100007 0.100007
0.100000 0.100000 0.002000 4.958820 0.060920 0.990428 0.100000 0.100000
0.100000 0.100000 0.004000 4.620637 -0.233353 0.947106 0.100000 0.100000
0.100000 0.100000 0.557000 5.453825 0.988294 0.037008 0.100014 0.100014
0.100000 0.100000 0.025000 0.785191 0.719468 0.553197 0.100005 0.100000
0.100000 0.100000 0.007000 2.498147 0.192390 0.871095 0.100001 0.100000
0.100000 0.100000 0.005000 0.460283 1.142786 0.919462 0.100001 0.100001
0.100000 0.100000 0.007000 4.795561 -0.675738 0.871104 0.100001 0.100000
0.100000 0.100000 0.337000 4.166053 0.452840 0.070224 0.100025 0.100003
0.100000 0.100000 0.004000 1.028248 -0.374640 0.947104 0.100000 0.100000
0.100000 0.100000 0.002000 4.840019 -0.672132 0.990428 0.100000 0.100000
0.100000 0.100000 0.001000 6.200687 1.439181 0.998877 0.100000 0.100000
0.100000 0.100000 0.019000 3.487977 1.127484 0.628848 0.100002 0.100002
0.100000 0.100000 0.033000 6.004567 -0.399890 0.478946 0.100007 0.100000
0.100000 0.100000 0.058000 2.582017 -0.790079 0.349007 0.100007 0.100007
0.100000 0.100000 0.002000 1.635511 -0.157157 0.990427 0.100000 0.100000
0.100000 0.100000 0.000000 0.582475 -1.449651 0.996687 0.100000 0.100000
0.100000 0.100000 0.170000 3.976582 0.879962 0.162226 0.100025 0.100003
0.100000 0.100000 0.034000 1.454476 -0.131774 0.471255 0.100004 0.100004
0.100000 0.100000 0.001000 1.743110 -0.602087 0.998877 0.100000 0.100000
0.100000 0.100000 0.031000 5.982728 0.717877 0.494945 0.100003 0.100003
0.100000 0.100000 0.004000 0.899585 0.319230 0.947104 0.100000 0.100000
0.100000 0.100000 0.010000 1.211367 1.396427 0.797886 0.100001 0.100001
0.100000 0.100000 0.014000 3.656153 -0.112789 0.714410 0.100002 0.100001
0.100000 0.100000 0.011000 5.932581 -0.361996 0.777352 0.100001 0.100001
