# injm1  injm2  injecc  pol  inc  maxmatch  maxm1  maxm2
1.000000 1.000000 0.000000 0.000719 -0.260683 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 1.899612 0.692170 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 3.453631 -0.201078 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 2.735211 -1.489347 0.977915 0.999969 0.999969
1.000000 1.000000 0.012000 1.827808 0.159586 0.945516 0.999969 0.999969
1.000000 1.000000 0.013000 3.209625 0.653916 0.938567 0.999969 0.999969
1.000000 1.000000 0.002000 6.111556 1.467218 0.977259 0.999969 0.999969
1.000000 1.000000 0.000000 4.491321 0.148384 0.977915 0.999969 0.999969
1.000000 1.000000 0.001000 1.298855 -0.873384 0.977752 0.999969 0.999969
1.000000 1.000000 0.001000 5.771803 1.164690 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 5.159935 1.234207 0.977915 0.999969 0.999969
1.000000 1.000000 0.001000 0.261988 -0.527851 0.977752 0.999969 0.999969
1.000000 1.000000 0.143000 2.754606 -1.331067 0.387884 0.999969 0.999969
1.000000 1.000000 0.001000 4.545666 0.879391 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 5.461310 1.173163 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 3.335465 1.471964 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 3.115035 -1.538205 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 0.840876 0.005889 0.977915 0.999969 0.999969
1.000000 1.000000 0.001000 3.981329 0.852379 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 4.704874 -1.505602 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 2.910488 -1.004462 0.977915 0.999969 0.999969
1.000000 1.000000 0.001000 4.554894 -1.509613 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 1.654457 -1.086479 0.977915 0.999969 0.999969
1.000000 1.000000 0.019000 3.353584 0.754138 0.884547 0.999969 0.999969
1.000000 1.000000 0.103000 5.179095 0.872428 0.471007 0.999969 0.999969
1.000000 1.000000 0.000000 6.067981 -0.824539 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 5.469058 0.043804 0.977915 0.999969 0.999969
1.000000 1.000000 0.052000 0.050560 0.858173 0.667828 0.999969 0.999969
1.000000 1.000000 0.000000 0.341574 1.095843 0.977915 0.999969 0.999969
1.000000 1.000000 0.001000 2.271613 -1.008778 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 3.460159 -0.869307 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 0.286526 0.072770 0.977915 0.999969 0.999969
1.000000 1.000000 0.004000 1.203361 -0.645079 0.975191 0.999969 0.999969
1.000000 1.000000 0.001000 0.426631 0.096091 0.977752 0.999969 0.999969
1.000000 1.000000 0.007000 5.520416 0.472415 0.968779 0.999969 0.999969
1.000000 1.000000 0.003000 1.142536 0.017132 0.976415 0.999969 0.999969
1.000000 1.000000 0.000000 1.551557 -1.264385 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 0.867907 0.820740 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 5.601653 0.276871 0.977915 0.999969 0.999969
1.000000 1.000000 0.002000 5.126058 1.249455 0.977259 0.999969 0.999969
1.000000 1.000000 0.000000 4.529965 -1.417723 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 0.135819 -0.662532 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 2.642318 -0.915898 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 5.398400 -0.057551 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 4.809526 0.054343 0.977915 0.999969 0.999969
1.000000 1.000000 0.002000 1.774345 1.404174 0.977259 0.999969 0.999969
1.000000 1.000000 0.000000 6.282351 1.445187 0.977915 0.999969 0.999969
1.000000 1.000000 0.003000 1.382724 0.626786 0.976415 0.999969 0.999969
1.000000 1.000000 0.000000 1.751997 1.162779 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 1.168115 0.258481 0.977915 0.999969 0.999969
1.000000 1.000000 0.009000 4.827357 -0.603390 0.961643 0.999969 0.999969
1.000000 1.000000 0.000000 4.958820 0.060920 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 4.620637 -0.233353 0.977915 0.999969 0.999969
1.000000 1.000000 0.157000 5.453825 0.988294 0.366404 0.999969 0.999969
1.000000 1.000000 0.004000 0.785191 0.719468 0.975191 0.999969 0.999969
1.000000 1.000000 0.001000 2.498147 0.192390 0.977752 0.999969 0.999969
1.000000 1.000000 0.000000 0.460283 1.142786 0.977915 0.999969 0.999969
1.000000 1.000000 0.001000 4.795561 -0.675738 0.977752 0.999969 0.999969
1.000000 1.000000 0.064000 4.166053 0.452840 0.608635 0.999969 0.999969
1.000000 1.000000 0.000000 1.028248 -0.374640 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 4.840019 -0.672132 0.977915 0.999969 0.999969
1.000000 1.000000 0.000000 6.200687 1.439181 0.977915 0.999969 0.999969
1.000000 1.000000 0.002000 3.487977 1.127484 0.977259 0.999969 0.999969
